ID do Flashcard,Categoria,Baralho,Pergunta do Flashcard,Resposta do Flashcard,Repetições,Intervalo Anterior,Fator de Facilidade Anterior,Qualidade,Anotações
17,Neurologia,AVC,Quais são os sintomas do AVC?,"Os sintomas do AVC podem incluir dificuldade para falar, paralisia ou dormência do rosto, braço ou perna, dificuldade para ver em um ou ambos os olhos e dor de cabeça súbita e severa.",0,0,2.5,0,
18,Neurologia,AVC,Como é feito o diagnóstico do AVC?,O diagnóstico do AVC é feito através de exames como a tomografia computadorizada ou a ressonância magnética.,0,0,2.5,0,
19,Neurologia,AVC,Qual é o tratamento para AVC?,"O tratamento para AVC pode incluir medicamentos para quebrar coágulos, medicamentos para prevenir coágulos e, em alguns casos, cirurgia.",0,0,2.5,0,
20,Neurologia,AVC,Quais são as possíveis complicações do AVC?,"As complicações do AVC podem incluir paralisia ou perda de movimento muscular, dificuldades para falar ou engolir, perda de memória ou dificuldades para entender e problemas emocionais.",0,0,2.5,0,
21,Neurologia,Epilepsia,O que é Epilepsia?,"Epilepsia é uma condição do sistema nervoso central em que a atividade cerebral se torna anormal, causando convulsões ou períodos de comportamento incomum, sensações e, às vezes, perda de consciência.",0,0,2.5,0,
22,Neurologia,Epilepsia,Quais são os sintomas da Epilepsia?,"Os sintomas da epilepsia podem incluir convulsões temporárias, confusão, perda de consciência ou consciência e sintomas psíquicos como medo, ansiedade ou déjà vu.",0,0,2.5,0,
23,Neurologia,Epilepsia,Como é feito o diagnóstico da Epilepsia?,O diagnóstico da epilepsia é feito através de exames como o eletroencefalograma (EEG) e a ressonância magnética.,0,0,2.5,0,
24,Neurologia,Epilepsia,Qual é o tratamento para Epilepsia?,"O tratamento para epilepsia geralmente envolve medicamentos antiepilépticos. Em alguns casos, a cirurgia pode ser necessária.",0,0,2.5,0,
25,Neurologia,Epilepsia,Quais são as possíveis complicações da Epilepsia?,"As complicações da epilepsia podem incluir status epilepticus (convulsões que não param), lesões devido a quedas durante uma convulsão e problemas emocionais e psicológicos.",0,0,2.5,0,
26,Neurologia,Alzheimer,O que é Alzheimer?,A doença de Alzheimer é uma doença neurodegenerativa progressiva que destrói a memória e outras funções mentais importantes.,0,0,2.5,0,
27,Neurologia,Alzheimer,Quais são os sintomas do Alzheimer?,"Os sintomas do Alzheimer podem incluir perda de memória, dificuldade para realizar tarefas familiares, confusão com tempo ou lugar, problemas de fala e escrita e mudanças de humor ou comportamento.",0,0,2.5,0,
28,Neurologia,Alzheimer,Como é feito o diagnóstico do Alzheimer?,"O diagnóstico do Alzheimer é feito através de uma combinação de avaliação médica, testes neuropsicológicos e exames de imagem cerebral.",0,0,2.5,0,
29,Neurologia,Alzheimer,Qual é o tratamento para Alzheimer?,"O tratamento para Alzheimer pode incluir medicamentos para os sintomas, terapias para ajudar a gerenciar o comportamento e apoio para ajudar a pessoa a lidar com a doença.",0,0,2.5,0,
30,Neurologia,Alzheimer,Quais são as possíveis complicações do Alzheimer?,"As complicações do Alzheimer podem incluir perda de memória e habilidades cognitivas, dificuldade para comunicar, problemas de mobilidade e eventualmente morte.",0,0,2.5,0,
31,Pneumologia,Asma,O que é Asma?,"Asma é uma condição em que as vias aéreas de uma pessoa se estreitam e produzem muco extra, o que torna a respiração difícil e desencadeia tosse, chiado no peito e falta de ar.",0,0,2.5,0,
32,Pneumologia,Asma,Quais são os sintomas da Asma?,"Os sintomas da asma podem incluir falta de ar, chiado no peito, tosse e aperto no peito.",0,0,2.5,0,
33,Pneumologia,Asma,Como é feito o diagnóstico da Asma?,"O diagnóstico da asma é feito através de uma combinação de histórico médico, exame físico e testes de função pulmonar.",0,0,2.5,0,
34,Pneumologia,Asma,Qual é o tratamento para Asma?,"O tratamento para asma geralmente envolve o uso de medicamentos para controlar os sintomas e evitar crises, além de evitar os gatilhos da asma.",0,0,2.5,0,
35,Pneumologia,Asma,Quais são as possíveis complicações da Asma?,"As complicações da asma podem incluir crises de asma severas que requerem atendimento de emergência, problemas de sono causados pela respiração ofegante e tosse, e complicações a longo prazo como o estreitamento permanente das vias aéreas.",0,0,2.5,0,
36,Pneumologia,Pneumonia,O que é Pneumonia?,"Pneumonia é uma infecção que inflama os sacos de ar em um ou ambos os pulmões, que podem se encher de fluido ou pus.",0,0,2.5,0,
37,Pneumologia,Pneumonia,Quais são os sintomas da Pneumonia?,"Os sintomas da pneumonia podem incluir tosse com muco, falta de ar, febre, calafrios e dor no peito.",0,0,2.5,0,
38,Pneumologia,Pneumonia,Como é feito o diagnóstico da Pneumonia?,"O diagnóstico da pneumonia é feito através de uma combinação de histórico médico, exame físico e exames como radiografia de tórax e exames de sangue.",0,0,2.5,0,
39,Pneumologia,Pneumonia,Qual é o tratamento para Pneumonia?,"O tratamento para pneumonia geralmente envolve antibióticos, medicamentos para aliviar os sintomas e, em alguns casos, hospitalização.",0,0,2.5,0,
40,Pneumologia,Pneumonia,Quais são as possíveis complicações da Pneumonia?,"As complicações da pneumonia podem incluir bacteremia, dificuldade para respirar e abscesso pulmonar.",0,0,2.5,0,
41,Pneumologia,Tuberculose,O que é Tuberculose?,Tuberculose é uma doença infecciosa que geralmente afeta os pulmões e é causada pela bactéria Mycobacterium tuberculosis.,0,0,2.5,0,
42,Pneumologia,Tuberculose,Quais são os sintomas da Tuberculose?,"Os sintomas da tuberculose podem incluir tosse persistente, dor no peito, perda de peso, febre, suor noturno e fadiga.",0,0,2.5,0,
43,Pneumologia,Tuberculose,Como é feito o diagnóstico da Tuberculose?,"O diagnóstico da tuberculose é feito através de uma combinação de exame físico, teste cutâneo de tuberculina, exames de sangue e exames de imagem como radiografia de tórax.",0,0,2.5,0,
44,Pneumologia,Tuberculose,Qual é o tratamento para Tuberculose?,O tratamento para tuberculose geralmente envolve uma combinação de medicamentos antibióticos que devem ser tomados por vários meses.,0,0,2.5,0,
45,Pneumologia,Tuberculose,Quais são as possíveis complicações da Tuberculose?,"As complicações da tuberculose podem incluir insuficiência respiratória, meningite tuberculosa e danos ao fígado ou rins devido ao uso de medicamentos para o tratamento.",0,0,2.5,0,
46,Dermatologia,Acne,O que é Acne?,Acne é uma condição da pele que ocorre quando os folículos pilosos da pele se obstruem com óleo e células mortas da pele.,0,0,2.5,0,
47,Dermatologia,Acne,Quais são os sintomas da Acne?,"Os sintomas da acne podem incluir cravos, espinhas, pequenos nódulos dolorosos sob a pele e, em casos graves, cistos dolorosos sob a pele.",0,0,2.5,0,
48,Dermatologia,Acne,Como é feito o diagnóstico da Acne?,O diagnóstico da acne é feito através de um exame físico da pele.,0,0,2.5,0,
49,Dermatologia,Acne,Qual é o tratamento para Acne?,"O tratamento para acne pode incluir medicamentos de uso tópico, medicamentos orais e procedimentos médicos como a terapia com luz.",0,0,2.5,0,
50,Dermatologia,Acne,Quais são as possíveis complicações da Acne?,"As complicações da acne podem incluir cicatrizes, alterações na cor da pele e baixa autoestima.",0,0,2.5,0,
51,Dermatologia,Psoríase,O que é Psoríase?,"Psoríase é uma condição da pele que causa células da pele a se multiplicarem até 10 vezes mais rápido do que o normal, levando a manchas vermelhas cobertas com escamas brancas.",0,0,2.5,0,
52,Dermatologia,Psoríase,Quais são os sintomas da Psoríase?,"Os sintomas da psoríase podem incluir manchas vermelhas com escamas prateadas, pele seca e rachada, coceira, queimação ou dor e unhas grossas ou sulcadas.",0,0,2.5,0,
53,Dermatologia,Psoríase,Como é feito o diagnóstico da Psoríase?,"O diagnóstico da psoríase é feito através de um exame físico da pele e, às vezes, uma biópsia da pele.",0,0,2.5,0,
54,Dermatologia,Psoríase,Qual é o tratamento para Psoríase?,"O tratamento para psoríase pode incluir cremes tópicos, medicamentos orais, injeções, fototerapia e, em alguns casos, terapias sistêmicas.",0,0,2.5,0,
55,Dermatologia,Psoríase,Quais são as possíveis complicações da Psoríase?,"As complicações da psoríase podem incluir artrite psoriática, problemas oculares, obesidade e doenças cardiovasculares.",0,0,2.5,0,
56,Dermatologia,Dermatite,O que é Dermatite?,Dermatite é um termo geral que descreve uma inflamação da pele.,0,0,2.5,0,
57,Dermatologia,Dermatite,Quais são os sintomas da Dermatite?,"Os sintomas da dermatite podem incluir coceira, vermelhidão, pele seca e rachada, bolhas, inchaço e dor.",0,0,2.5,0,
58,Dermatologia,Dermatite,Como é feito o diagnóstico da Dermatite?,"O diagnóstico da dermatite é feito através de um exame físico da pele e, às vezes, um teste de alergia.",0,0,2.5,0,
59,Dermatologia,Dermatite,Qual é o tratamento para Dermatite?,"O tratamento para dermatite pode incluir hidratantes, cremes ou pomadas de corticosteroides e medicamentos para controlar a coceira e a inflamação.",0,0,2.5,0,
60,Dermatologia,Dermatite,Quais são as possíveis complicações da Dermatite?,"As complicações da dermatite podem incluir infecções de pele, insônia devido à coceira e ansiedade ou depressão.",0,0,2.5,0,
